bin,head,condition,ref_score,score,delta
64k,19-23,y2_base,0.357782,0.316448,-0.041335
64k,17-24,y2_base,0.342665,0.274080,-0.068585
64k,19-18,y2_base,0.340723,0.275657,-0.065067
64k,16-14,y2_base,0.337915,0.270823,-0.067093
64k,13-16,y2_base,0.337151,0.191592,-0.145559
64k,19-17,y2_base,0.324497,0.347114,0.022617
64k,18-10,y2_base,0.323907,0.264548,-0.059359
64k,21-5,y2_base,0.320389,0.369717,0.049328
64k,21-4,y2_base,0.304533,0.237462,-0.067071
64k,19-22,y2_rpe_cur_L16k,0.460656,0.392018,-0.068637
64k,19-20,y2_rpe_cur_L16k,0.419864,0.406681,-0.013184
64k,16-20,y2_rpe_cur_L16k,0.390701,0.358185,-0.032515
64k,16-0,y2_rpe_cur_L16k,0.388691,0.352977,-0.035714
64k,18-16,y2_rpe_cur_L16k,0.376709,0.311042,-0.065667
64k,19-6,y2_rpe_cur_L16k,0.370743,0.302395,-0.068348
64k,19-15,y2_rpe_cur_L16k,0.368640,0.374788,0.006148
64k,19-23,y2_rpe_cur_L16k,0.357782,0.331116,-0.026667
64k,17-24,y2_rpe_cur_L16k,0.342665,0.277485,-0.065180
64k,19-18,y2_rpe_cur_L16k,0.340723,0.214113,-0.126611
64k,16-14,y2_rpe_cur_L16k,0.337915,0.253947,-0.083969
64k,13-16,y2_rpe_cur_L16k,0.337151,0.174298,-0.162853
64k,19-17,y2_rpe_cur_L16k,0.324497,0.316960,-0.007537
64k,18-10,y2_rpe_cur_L16k,0.323907,0.310788,-0.013119
64k,21-5,y2_rpe_cur_L16k,0.320389,0.321613,0.001224
64k,21-4,y2_rpe_cur_L16k,0.304533,0.155690,-0.148842
128k,19-22,lora_base,0.406935,0.406935,0.000000
128k,19-20,lora_base,0.368820,0.368820,0.000000
128k,19-15,lora_base,0.356116,0.356116,0.000000
128k,19-17,lora_base,0.341250,0.341250,0.000000
128k,19-23,lora_base,0.321546,0.321546,0.000000
128k,21-5,lora_base,0.303386,0.303386,0.000000
128k,19-6,lora_base,0.294435,0.294435,0.000000
128k,19-18,lora_base,0.276629,0.276629,0.000000
128k,21-4,lora_base,0.240199,0.240199,0.000000
128k,19-24,lora_base,0.239557,0.239557,0.000000
128k,16-0,lora_base,0.225874,0.225874,0.000000
128k,21-22,lora_base,0.225015,0.225015,0.000000
128k,20-21,lora_base,0.223591,0.223591,0.000000
128k,21-25,lora_base,0.205668,0.205668,0.000000
128k,18-10,lora_base,0.204885,0.204885,0.000000
128k,18-16,lora_base,0.204507,0.204507,0.000000
128k,19-22,y2_base,0.406935,0.326338,-0.080597
128k,19-20,y2_base,0.368820,0.317905,-0.050915
128k,19-15,y2_base,0.356116,0.324765,-0.031350
128k,19-17,y2_base,0.341250,0.302589,-0.038661
128k,19-23,y2_base,0.321546,0.223200,-0.098346
128k,21-5,y2_base,0.303386,0.290209,-0.013177
128k,19-6,y2_base,0.294435,0.279448,-0.014987
128k,19-18,y2_base,0.276629,0.201022,-0.075608
128k,21-4,y2_base,0.240199,0.143860,-0.096339
128k,19-24,y2_base,0.239557,0.132332,-0.107225
128k,16-0,y2_base,0.225874,0.187787,-0.038086
128k,21-22,y2_base,0.225015,0.154950,-0.070065
