k,bin,condition,n,n_correct,mean_sig,mean_sig_correct,mean_sig_wrong,r_pointbiserial,p_pointbiserial,r_spearman
32,16k,lora_base,60,47,11.1735,11.2075,11.0506,0.0325,8.0553e-01,0.0175
32,16k,y2_base,60,45,9.9226,10.1437,9.2591,0.1931,1.3927e-01,0.1878
32,16k,y2_rpe_cur_L16k,60,48,9.9971,9.7994,10.7878,-0.2178,9.4618e-02,-0.2165
32,32k,lora_base,60,37,11.6269,11.6528,11.5851,0.0178,8.9252e-01,0.0109
32,32k,y2_base,60,34,10.0196,10.0240,10.0139,0.0027,9.8378e-01,-0.0350
32,32k,y2_rpe_cur_L16k,60,50,10.1929,10.1044,10.6354,-0.1162,3.7665e-01,-0.1214
32,64k,lora_base,60,28,10.2021,10.1227,10.2714,-0.0521,6.9276e-01,-0.0965
32,64k,y2_base,60,28,8.8806,8.6179,9.1104,-0.1463,2.6476e-01,-0.1755
32,64k,y2_rpe_cur_L16k,60,39,8.5445,8.2225,9.1424,-0.2962,2.1586e-02,-0.2734
32,128k,lora_base,60,21,7.3107,7.2816,7.3263,-0.0102,9.3847e-01,0.0353
32,128k,y2_base,60,23,5.9416,5.6698,6.1105,-0.1142,3.8503e-01,-0.1475
32,128k,y2_rpe_cur_L16k,60,39,6.2289,6.1175,6.4357,-0.0816,5.3521e-01,-0.1160
